,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
0,179.0,178.0,145.0,178.0,178.0,177.0
1,177.0,178.0,146.0,178.0,173.0,177.0
2,178.0,178.0,178.0,178.0,177.0,177.0
3,177.0,178.0,146.0,178.0,177.0,177.0
4,178.0,177.0,146.0,178.0,176.0,177.0
5,178.0,178.0,144.0,178.0,177.0,177.0
6,178.0,178.0,144.0,177.0,177.0,177.0
7,178.0,178.0,145.0,177.0,178.0,177.0
8,178.0,178.0,147.0,177.0,177.0,178.0
9,178.0,177.0,147.0,177.0,178.0,177.0
10,178.0,178.0,145.0,177.0,175.0,177.0
11,178.0,178.0,144.0,177.0,177.0,177.0
12,177.0,179.0,146.0,177.0,177.0,177.0
13,178.0,178.0,145.0,177.0,177.0,178.0
14,177.0,178.0,145.0,177.0,177.0,177.0
15,179.0,179.0,144.0,177.0,178.0,178.0
16,178.0,178.0,145.0,177.0,177.0,177.0
17,178.0,179.0,145.0,178.0,177.0,177.0
18,178.0,177.0,145.0,177.0,178.0,177.0
19,178.0,179.0,143.0,177.0,177.0,177.0
20,178.0,178.0,146.0,178.0,177.0,179.0
21,178.0,178.0,145.0,177.0,178.0,179.0
22,178.0,178.0,147.0,177.0,177.0,178.0
23,178.0,178.0,147.0,177.0,177.0,178.0
24,179.0,178.0,147.0,177.0,177.0,177.0
25,177.0,178.0,144.0,178.0,177.0,177.0
26,177.0,178.0,146.0,177.0,177.0,177.0
27,178.0,178.0,148.0,177.0,178.0,177.0
28,177.0,178.0,145.0,177.0,177.0,179.0
29,178.0,178.0,147.0,178.0,177.0,177.0
30,178.0,178.0,144.0,177.0,177.0,177.0
31,178.0,178.0,143.0,177.0,178.0,177.0
32,178.0,177.0,144.0,178.0,177.0,177.0
33,178.0,177.0,147.0,177.0,178.0,179.0
34,178.0,178.0,146.0,177.0,177.0,178.0
35,178.0,178.0,146.0,178.0,176.0,179.0
36,178.0,177.0,148.0,178.0,177.0,177.0
37,177.0,178.0,143.0,177.0,174.0,179.0
38,178.0,178.0,146.0,177.0,175.0,179.0
39,178.0,177.0,146.0,177.0,176.0,177.0
40,178.0,179.0,145.0,177.0,177.0,177.0
41,178.0,177.0,145.0,178.0,177.0,179.0
42,179.0,178.0,145.0,177.0,175.0,179.0
43,178.0,177.0,145.0,178.0,176.0,177.0
44,178.0,178.0,145.0,177.0,177.0,179.0
45,177.0,178.0,144.0,177.0,177.0,177.0
46,178.0,177.0,147.0,178.0,176.0,177.0
47,178.0,178.0,145.0,177.0,177.0,178.0
48,178.0,178.0,143.0,178.0,177.0,179.0
49,178.0,178.0,146.0,177.0,177.0,177.0
